BatterSide,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,RelSpeed,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ
Right,0,2,2,Curveball,Curveball,BallCalled,80.91061119,2515.362903,354.9209229,5:45:00,5.789113631,0.622174921,6.234936121,-49.04232663,-7.232015356,0.639284331,0.384269859,-1.805913289,75.40759822,-10.56176142,-2.567686245,0.465385897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05552954,-3.568561555,-0.42224058,50,5.658144903,5.510158564,-117.7344555,-4.298880062,-1.489401971,21.24398257,-37.20945724,80.99166031,NA,NA,5.50301297,0.332203512,0.179807537,1.854518804,NA,NA,NA
Right,0,3,2,Fastball,Fastball,FoulBall,90.4729546,2061.865684,193.2790364,12:30:00,5.804025088,0.605146826,6.339649478,-12.56937031,20.94738534,4.951097424,1.209034844,-0.297638598,82.85890414,-6.213456729,-0.489654775,0.416679856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.107875885,12.54385468,-0.503755371,50,5.518199456,3.129087247,-131.4797112,-9.223860876,-5.443770647,27.70828132,-10.20217116,90.45884033,NA,NA,7.614050459,1.935576025,1.265409995,0.293155859,NA,NA,NA
Right,0,3,2,Fastball,Fastball,InPlay,89.25149509,1972.239111,201.5641843,12:45:00,5.862912465,0.639508505,6.413820681,-16.67586192,17.61561592,6.974523235,3.117700806,0.584770744,81.4654525,-4.636972196,0.63515458,0.421468013,95.22398984,19.73242383,-23.02065608,1532.569548,99.0636868,33.91037058,-47.81589561,294.5552061,287.8289011,-28.36275503,3.350184937,-4.033092189,10.10855021,-0.593382954,50,5.75006619,1.364317248,-129.9746893,-3.8354002,-6.880908573,27.91447202,-14.92772575,89.4311677,39.31765476,3.243736659,7.786042581,0.85373345,3.071847545,-0.591091845,1.063276636,3.08896068,-0.588720106
Left,1,0,0,Fastball,Fastball,BallCalled,90.5291795,2023.39519,200.1713636,12:45:00,5.82439011,0.683514566,6.378742745,-15.72939792,17.36856472,6.391965509,3.879808549,0.934132884,83.22896493,-3.661712705,0.903543799,0.414068458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.58336202,9.699343216,-0.664472255,50,5.767417252,0.512591503,-131.9404375,-2.062765123,-6.355182093,26.46862892,-14.97202097,91.02933534,NA,NA,7.300214564,-2.165485967,3.643282679,-0.993575092,NA,NA,NA
Left,1,1,0,ChangeUp,ChangeUp,StrikeCalled,80.41632162,1554.239509,211.4969249,1:00:00,5.632986218,1.106110285,6.683033832,-27.79739556,13.62405713,8.371690085,2.92634238,0.701340107,74.23024222,-5.697468707,0.387711506,0.463216671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.949267243,7.659001078,-1.02923447,50,5.593186418,2.255489825,-117.2429241,-1.573967336,-6.937974697,20.6898068,-21.43751867,81.3709412,NA,NA,6.1860794,-2.232795904,2.548809607,-0.730078246,NA,NA,NA
Left,1,1,1,Fastball,Fastball,BallCalled,90.76220789,2033.144178,200.1837619,12:45:00,5.807237514,0.573579203,6.281399507,-16.44773593,16.65647884,6.134473797,3.588684589,0.195268576,83.34253375,-4.023994536,0.194921808,0.414107564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.606436574,9.343086029,-0.505526343,50,5.731410682,2.037909241,-132.2257362,-2.631684526,-6.415626245,26.92103446,-15.55327991,91.02073895,NA,NA,7.419674135,-2.215307614,3.32539107,-0.210530552,NA,NA,NA
Left,1,2,1,ChangeUp,ChangeUp,InPlay,80.36869238,1514.147962,198.3529226,12:30:00,5.618533863,0.880117439,6.497240251,-26.94635323,14.99987767,4.989193891,2.571976273,-0.121413263,73.908471,-5.971251732,-0.596131838,0.466141737,98.11288952,24.44031143,18.75842433,1807.009783,102.9836826,44.49961674,38.65690091,350.427165,344.3290283,24.10423294,4.195194702,-3.164185233,8.498018435,-0.774457778,50,5.545558271,3.025264055,-117.0856104,-2.487919513,-4.405781092,21.47957115,-20.3414894,80.86033399,59.24532296,4.095500916,6.460221377,1.669799803,2.598392424,0.11876793,1.407819284,2.571050737,0.121505305
Right,2,0,0,Fastball,Fastball,FoulBall,90.21920124,2013.367948,199.9567261,12:45:00,5.941210681,0.612613784,6.349469573,-16.39350041,17.17945072,6.24958083,2.986652413,0.126025082,82.56445634,-4.825361707,0.091436217,0.41702902,80.16066298,6.358971651,171.8149794,NA,NA,NA,NA,NA,NA,NA,NA,-3.729758515,9.897246578,-0.536294996,50,5.808399916,2.320863259,-131.3635534,-4.451629535,-6.519275123,27.7491806,-14.87457109,90.38310216,NA,NA,7.654744893,3.720886491,3.178045134,-0.123539355,1.975475698,3.033641657,-0.125203607
Right,2,0,1,Curveball,Curveball,StrikeCalled,78.4366118,2560.508813,359.1929296,6:00:00,5.805243962,0.721548458,6.209210284,-47.67135234,-2.83984628,0.039411031,2.373356697,-0.393834005,71.98872358,-8.397337819,-1.20456066,0.481906942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.375014304,-1.721847857,-0.6307874,50,5.825143063,2.414805791,-114.1865774,-0.113229723,-0.492785656,21.95481265,-34.43663405,78.21505195,NA,NA,6.447888218,-2.497205259,1.768791014,0.476107559,NA,NA,NA
Right,2,0,2,Curveball,Curveball,BallCalled,79.89838598,2697.237971,13.64069052,6:30:00,5.761964065,0.694243932,6.05168463,-51.47205279,-7.783445354,-1.878897335,0.491358167,-0.888424401,73.47116832,-10.69137135,-1.896449257,0.475724611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550277666,-3.90759971,-0.573616914,50,5.652102716,3.177986755,-116.2168431,-3.595677422,0.745345751,23.73809546,-37.46685439,79.23150428,NA,NA,6.427217662,0.885514246,0.390494795,0.906030898,NA,NA,NA
