Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,,
</script>,,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,,
try {,,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,,
} catch(err) {},,,,,,,,,
</script>,,,,,,,,,
,,,,,,,,,
      ,,,,,,,,,
