Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Boston College,12,9-Mar,750,3052,4.07,15,19,254.3
2,Alabama,13,1-Dec,813,3356,4.13,19,21,258.2
3,Wisconsin,12,3-Sep,730,3205,4.39,17,19,267.1
4,Michigan,12,3-Sep,766,3376,4.41,19,23,281.3
5,San Diego St.,13,3-Oct,800,3743,4.68,27,28,287.9
6,Florida,13,3-Oct,856,3840,4.49,24,25,295.4
7,Clemson,13,13-0,821,3844,4.68,30,33,295.7
8,Georgia,12,3-Sep,761,3576,4.7,20,24,298
9,Missouri,12,7-May,838,3624,4.32,21,22,302
10,Ohio St.,12,1-Nov,829,3642,4.39,20,20,303.5
11,Northwestern,12,2-Oct,832,3726,4.48,21,24,310.5
12,Appalachian St.,12,2-Oct,806,3816,4.73,24,26,318
13,Louisville,12,5-Jul,811,3881,4.79,31,36,323.4
14,Penn St.,12,5-Jul,819,3891,4.75,30,34,324.3
15,Florida St.,12,2-Oct,837,3932,4.7,19,21,327.7
16,Central Mich.,12,5-Jul,772,3938,5.1,32,35,328.2
17,Akron,12,5-Jul,814,3942,4.84,32,34,328.5
18,Temple,13,3-Oct,875,4283,4.89,25,27,329.5
19,NC State,12,5-Jul,751,3990,5.31,35,36,332.5
20,Iowa,13,1-Dec,907,4345,4.79,24,26,334.2
21,Ga. Southern,12,4-Aug,740,4033,5.45,31,35,336.1
22,Utah St.,12,6-Jun,819,4040,4.93,41,43,336.7
23,Air Force,13,5-Aug,799,4382,5.48,36,38,337.1
24,Boise St.,12,4-Aug,800,4105,5.13,28,32,342.1
25,LSU,11,3-Aug,724,3767,5.2,32,34,342.5
26,Michigan St.,13,1-Dec,829,4458,5.38,32,34,342.9
27,Pittsburgh,12,4-Aug,740,4131,5.58,30,32,344.3
28,Washington,12,6-Jun,864,4199,4.86,22,24,349.9
29,Kent St.,12,9-Mar,864,4201,4.86,37,40,350.1
30,Vanderbilt,12,8-Apr,814,4206,5.17,22,26,350.5
31,Oklahoma,12,1-Nov,899,4208,4.68,30,30,350.7
32,Illinois,12,7-May,860,4210,4.9,33,34,350.8
33,UConn,12,6-Jun,810,4227,5.22,26,28,352.3
34,Virginia Tech,12,6-Jun,784,4245,5.41,33,35,353.8
35,Minnesota,12,7-May,859,4248,4.95,34,38,354
36,BYU,12,3-Sep,855,4297,5.03,31,33,358.1
37,South Fla.,12,4-Aug,865,4334,5.01,29,29,361.2
38,Notre Dame,12,2-Oct,785,4349,5.54,34,35,362.4
39,Wake Forest,12,9-Mar,784,4365,5.57,33,37,363.8
