TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,BallCalled,Undefined,90.7612307975,2175.24652562,164.81474033,20.775310718,-5.64728018476,3.60040949794,-0.031382171492
Fastball,BallCalled,Undefined,91.3110598479,2162.51761366,165.500228983,20.1776483129,-5.22624602017,4.15988273901,0.247920504986
Fastball,BallCalled,Undefined,89.6554477095,2156.17588346,156.57538808,19.4598855441,-8.44477849147,2.75431053706,-1.56982896286
Fastball,FoulBall,Undefined,89.2997977969,2222.48512129,162.716618984,21.3222909254,-6.64448609918,2.75598525669,-1.02921653726
Fastball,StrikeCalled,Undefined,89.3226934492,2107.99577765,171.880770173,21.9428382058,-3.13503352192,2.08292486996,-0.845587108081
Fastball,BallCalled,Undefined,88.213413081,2132.63165409,170.140578297,21.0956478532,-3.67214909216,3.87793137435,0.465709444908
ChangeUp,StrikeCalled,Undefined,77.7353815409,1646.0127995,130.004993512,8.43005760667,-10.0958538563,2.39353337812,0.308615934779
Fastball,BallCalled,Undefined,87.1818549023,2246.68509218,159.528133201,19.5215042573,-7.3004445465,2.58410019092,-2.06499375234
Fastball,StrikeSwinging,Undefined,87.0592787909,2228.63769859,165.949745448,22.194799368,-5.56290968284,3.13445488023,-0.607068227604
Fastball,FoulBall,Undefined,89.4862918886,2272.92932619,171.988740979,19.3805762953,-2.7321877145,2.55255301832,-0.0079389356255
Fastball,BallCalled,Undefined,89.5032341372,2105.16171613,174.041681589,20.3343062874,-2.12560557704,2.24254453734,1.20336305634
Fastball,InPlay,Out,89.7495912775,2117.31329798,151.087278211,17.7408382818,-9.81626722736,2.38378157806,-0.06003700879
Fastball,BallCalled,Undefined,87.1635582606,2114.52384789,148.882998626,19.0136032309,-11.4979622218,3.04402652942,-1.76229387993
Fastball,BallCalled,Undefined,87.6558878188,2073.30332551,169.583714488,20.09245453,-3.69971644692,4.43046686061,0.211813655708
Fastball,BallCalled,Undefined,88.4704619022,2180.89131362,169.516323955,19.8784055758,-3.68444674988,0.79072243113,-0.288212293654
Fastball,StrikeCalled,Undefined,84.6688752538,2089.43507847,170.466455686,21.5696603624,-3.62858263438,3.24114054551,-0.0831306585179
