TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Curveball,StrikeCalled,Undefined,78.1683110412,2323.751036,76.2735831827,-2.32147199566,-9.32872492838,2.23455152763,-1.05379192242
Fastball,StrikeCalled,Undefined,91.2859858129,2269.81955334,209.895476374,18.189298929,10.4749071867,1.51013366062,-0.380971875407
Fastball,BallCalled,Undefined,92.4115372596,2344.72099617,203.642157979,17.1772818396,7.532618789,1.12922392901,-2.0322178599
Curveball,StrikeCalled,Undefined,78.0968513099,2234.84969972,41.163346037,-5.74834258999,-4.98914769659,2.7303049094,0.142767970089
Fastball,BallCalled,Undefined,90.6709538538,2186.45920063,215.828356535,13.6092877098,9.84791208791,-1.16079851823,-1.39746486962
Fastball,FoulBall,Undefined,92.2050123845,2300.20207756,208.528577507,15.4487418027,8.41406852314,3.17479577296,0.399707592409
Curveball,BallCalled,Undefined,79.2537381296,2196.60291325,34.4317147204,-7.92371818735,-5.4041597199,3.7120364307,-0.0651712235877
Fastball,InPlay,Out,91.5253911726,2066.42829362,188.248653447,17.1483569336,2.49030506409,3.1627474778,-0.54547020806
Curveball,BallCalled,Undefined,78.9176611444,2219.64973894,44.4348843169,-4.70851182846,-4.57662625433,3.30841679391,0.120881735622
Fastball,FoulBall,Undefined,91.6095358053,2073.04943774,211.01628769,15.5337662078,9.35780771681,2.68707987638,0.705642438121
Fastball,BallCalled,Undefined,91.6612801259,2191.78100155,222.350666703,12.443164382399999,11.369811429,3.11788822469,1.16385694397
Curveball,BallCalled,Undefined,78.1002941776,2067.41822521,49.3976132877,-5.67423092309,-6.57148398488,3.46385372996,0.512634279471
Fastball,InPlay,Out,90.0352819059,2098.49206074,210.23296251,13.9480929401,8.14669657228,2.31556622453,0.188591537963
ChangeUp,BallCalled,Undefined,84.4150721681,1508.71635055,224.228180412,12.6475872695,12.3458712542,1.50393022897,0.696874371255
Fastball,BallCalled,Undefined,90.5627694124,2154.71713942,216.068407751,12.2673816627,8.95709758743,3.71575588762,-0.508231632493
Fastball,StrikeCalled,Undefined,89.9554926014,2086.90060594,215.824678173,14.5361413291,10.5158341657,2.41978344177,0.516342953375
Curveball,StrikeCalled,Undefined,78.1840306392,2064.92010692,54.6455076419,-4.95069016378,-6.91919878551,1.90050686471,-0.599383244397
